Time,Amplitude
2016-11-21T20:59:46.619538Z,903
2016-11-21T20:59:46.669538Z,986
2016-11-21T20:59:46.719538Z,1114
2016-11-21T20:59:46.769538Z,1213
2016-11-21T20:59:46.819538Z,1356
2016-11-21T20:59:46.869538Z,1454
2016-11-21T20:59:46.919538Z,1463
2016-11-21T20:59:46.969538Z,1473
2016-11-21T20:59:47.019538Z,1422
2016-11-21T20:59:47.069538Z,1400
2016-11-21T20:59:47.119538Z,1349
2016-11-21T20:59:47.169538Z,1265
2016-11-21T20:59:47.219538Z,1211
2016-11-21T20:59:47.269538Z,1097
2016-11-21T20:59:47.319538Z,924
2016-11-21T20:59:47.369538Z,659
2016-11-21T20:59:47.419538Z,385
2016-11-21T20:59:47.469538Z,144
2016-11-21T20:59:47.519538Z,-36
2016-11-21T20:59:47.569538Z,-47
2016-11-21T20:59:47.619538Z,-30
2016-11-21T20:59:47.669538Z,12
2016-11-21T20:59:47.719538Z,59
2016-11-21T20:59:47.769538Z,35
2016-11-21T20:59:47.819538Z,-13
2016-11-21T20:59:47.869538Z,-134
2016-11-21T20:59:47.919538Z,-261
2016-11-21T20:59:47.969538Z,-310
2016-11-21T20:59:48.019538Z,-375
2016-11-21T20:59:48.069538Z,-449
2016-11-21T20:59:48.119538Z,-491
2016-11-21T20:59:48.169538Z,-589
2016-11-21T20:59:48.219538Z,-698
2016-11-21T20:59:48.269538Z,-766
2016-11-21T20:59:48.319538Z,-807
2016-11-21T20:59:48.369538Z,-830
2016-11-21T20:59:48.419538Z,-837
2016-11-21T20:59:48.469538Z,-828
2016-11-21T20:59:48.519538Z,-835
2016-11-21T20:59:48.569538Z,-865
2016-11-21T20:59:48.619538Z,-894
2016-11-21T20:59:48.669538Z,-838
2016-11-21T20:59:48.719538Z,-727
2016-11-21T20:59:48.769538Z,-590
2016-11-21T20:59:48.819538Z,-407
2016-11-21T20:59:48.869538Z,-215
2016-11-21T20:59:48.919538Z,-68
2016-11-21T20:59:48.969538Z,8
2016-11-21T20:59:49.019538Z,73
2016-11-21T20:59:49.069538Z,147
2016-11-21T20:59:49.119538Z,223
2016-11-21T20:59:49.169538Z,282
2016-11-21T20:59:49.219538Z,317
2016-11-21T20:59:49.269538Z,322
2016-11-21T20:59:49.319538Z,246
2016-11-21T20:59:49.369538Z,122
2016-11-21T20:59:49.419538Z,-23
2016-11-21T20:59:49.469538Z,-140
2016-11-21T20:59:49.519538Z,-164
2016-11-21T20:59:49.569538Z,-155
2016-11-21T20:59:49.619538Z,-158
2016-11-21T20:59:49.669538Z,-138
2016-11-21T20:59:49.719538Z,-47
2016-11-21T20:59:49.769538Z,121
2016-11-21T20:59:49.819538Z,317
2016-11-21T20:59:49.869538Z,523
2016-11-21T20:59:49.919538Z,733
2016-11-21T20:59:49.969538Z,894
2016-11-21T20:59:50.019538Z,990
2016-11-21T20:59:50.069538Z,1011
2016-11-21T20:59:50.119538Z,1003
2016-11-21T20:59:50.169538Z,1007
2016-11-21T20:59:50.219538Z,1022
2016-11-21T20:59:50.269538Z,1096
2016-11-21T20:59:50.319538Z,1144
2016-11-21T20:59:50.369538Z,1143
2016-11-21T20:59:50.419538Z,1173
2016-11-21T20:59:50.469538Z,1166
2016-11-21T20:59:50.519538Z,1105
2016-11-21T20:59:50.569538Z,1054
2016-11-21T20:59:50.619538Z,1026
2016-11-21T20:59:50.669538Z,1040
2016-11-21T20:59:50.719538Z,1064
2016-11-21T20:59:50.769538Z,1130
2016-11-21T20:59:50.819538Z,1236
2016-11-21T20:59:50.869538Z,1300
2016-11-21T20:59:50.919538Z,1357
2016-11-21T20:59:50.969538Z,1375
2016-11-21T20:59:51.019538Z,1345
2016-11-21T20:59:51.069538Z,1338
2016-11-21T20:59:51.119538Z,1327
2016-11-21T20:59:51.169538Z,1301
2016-11-21T20:59:51.219538Z,1282
2016-11-21T20:59:51.269538Z,1205
2016-11-21T20:59:51.319538Z,1100
2016-11-21T20:59:51.369538Z,991
2016-11-21T20:59:51.419538Z,890
2016-11-21T20:59:51.469538Z,827
2016-11-21T20:59:51.519538Z,761
2016-11-21T20:59:51.569538Z,735
2016-11-21T20:59:51.619538Z,734
2016-11-21T20:59:51.669538Z,723
2016-11-21T20:59:51.719538Z,724
2016-11-21T20:59:51.769538Z,743
2016-11-21T20:59:51.819538Z,818
2016-11-21T20:59:51.869538Z,900
2016-11-21T20:59:51.919538Z,950
2016-11-21T20:59:51.969538Z,1070
2016-11-21T20:59:52.019538Z,1201
2016-11-21T20:59:52.069538Z,1284
2016-11-21T20:59:52.119538Z,1322
2016-11-21T20:59:52.169538Z,1221
2016-11-21T20:59:52.219538Z,1049
2016-11-21T20:59:52.269538Z,890
2016-11-21T20:59:52.319538Z,731
2016-11-21T20:59:52.369538Z,565
2016-11-21T20:59:52.419538Z,439
2016-11-21T20:59:52.469538Z,282
2016-11-21T20:59:52.519538Z,104
2016-11-21T20:59:52.569538Z,17
2016-11-21T20:59:52.619538Z,-69
2016-11-21T20:59:52.669538Z,-127
2016-11-21T20:59:52.719538Z,-143
2016-11-21T20:59:52.769538Z,-158
2016-11-21T20:59:52.819538Z,-147
2016-11-21T20:59:52.869538Z,-212
2016-11-21T20:59:52.919538Z,-331
2016-11-21T20:59:52.969538Z,-431
2016-11-21T20:59:53.019538Z,-555
2016-11-21T20:59:53.069538Z,-623
2016-11-21T20:59:53.119538Z,-665
2016-11-21T20:59:53.169538Z,-742
2016-11-21T20:59:53.219538Z,-841
2016-11-21T20:59:53.269538Z,-947
2016-11-21T20:59:53.319538Z,-996
2016-11-21T20:59:53.369538Z,-989
2016-11-21T20:59:53.419538Z,-891
2016-11-21T20:59:53.469538Z,-802
2016-11-21T20:59:53.519538Z,-765
2016-11-21T20:59:53.569538Z,-750
2016-11-21T20:59:53.619538Z,-763
2016-11-21T20:59:53.669538Z,-640
2016-11-21T20:59:53.719538Z,-417
2016-11-21T20:59:53.769538Z,-152
2016-11-21T20:59:53.819538Z,66
2016-11-21T20:59:53.869538Z,128
2016-11-21T20:59:53.919538Z,132
2016-11-21T20:59:53.969538Z,62
2016-11-21T20:59:54.019538Z,14
2016-11-21T20:59:54.069538Z,63
2016-11-21T20:59:54.119538Z,79
2016-11-21T20:59:54.169538Z,201
2016-11-21T20:59:54.219538Z,310
2016-11-21T20:59:54.269538Z,319
2016-11-21T20:59:54.319538Z,388
2016-11-21T20:59:54.369538Z,373
2016-11-21T20:59:54.419538Z,379
2016-11-21T20:59:54.469538Z,338
2016-11-21T20:59:54.519538Z,284
2016-11-21T20:59:54.569538Z,302
2016-11-21T20:59:54.619538Z,279
2016-11-21T20:59:54.669538Z,338
2016-11-21T20:59:54.719538Z,401
2016-11-21T20:59:54.769538Z,483
2016-11-21T20:59:54.819538Z,584
2016-11-21T20:59:54.869538Z,623
2016-11-21T20:59:54.919538Z,675
2016-11-21T20:59:54.969538Z,719
2016-11-21T20:59:55.019538Z,738
2016-11-21T20:59:55.069538Z,797
2016-11-21T20:59:55.119538Z,815
2016-11-21T20:59:55.169538Z,774
2016-11-21T20:59:55.219538Z,712
2016-11-21T20:59:55.269538Z,620
2016-11-21T20:59:55.319538Z,598
2016-11-21T20:59:55.369538Z,613
2016-11-21T20:59:55.419538Z,688
2016-11-21T20:59:55.469538Z,867
2016-11-21T20:59:55.519538Z,1045
2016-11-21T20:59:55.569538Z,1148
2016-11-21T20:59:55.619538Z,1164
2016-11-21T20:59:55.669538Z,1069
2016-11-21T20:59:55.719538Z,968
2016-11-21T20:59:55.769538Z,853
2016-11-21T20:59:55.819538Z,730
2016-11-21T20:59:55.869538Z,718
2016-11-21T20:59:55.919538Z,779
2016-11-21T20:59:55.969538Z,897
2016-11-21T20:59:56.019538Z,930
2016-11-21T20:59:56.069538Z,935
2016-11-21T20:59:56.119538Z,944
2016-11-21T20:59:56.169538Z,964
2016-11-21T20:59:56.219538Z,1027
2016-11-21T20:59:56.269538Z,1041
2016-11-21T20:59:56.319538Z,1069
2016-11-21T20:59:56.369538Z,1013
2016-11-21T20:59:56.419538Z,942
2016-11-21T20:59:56.469538Z,839
2016-11-21T20:59:56.519538Z,707
2016-11-21T20:59:56.569538Z,656
2016-11-21T20:59:56.619538Z,583
2016-11-21T20:59:56.669538Z,569
2016-11-21T20:59:56.719538Z,575
2016-11-21T20:59:56.769538Z,591
2016-11-21T20:59:56.819538Z,624
2016-11-21T20:59:56.869538Z,614
2016-11-21T20:59:56.919538Z,541
2016-11-21T20:59:56.969538Z,397
2016-11-21T20:59:57.019538Z,259
2016-11-21T20:59:57.069538Z,110
2016-11-21T20:59:57.119538Z,5
2016-11-21T20:59:57.169538Z,15
2016-11-21T20:59:57.219538Z,94
2016-11-21T20:59:57.269538Z,142
2016-11-21T20:59:57.319538Z,186
2016-11-21T20:59:57.369538Z,300
2016-11-21T20:59:57.419538Z,363
2016-11-21T20:59:57.469538Z,304
2016-11-21T20:59:57.519538Z,183
2016-11-21T20:59:57.569538Z,71
2016-11-21T20:59:57.619538Z,10
2016-11-21T20:59:57.669538Z,2
2016-11-21T20:59:57.719538Z,60
